year,name,gender,count,country
2010,Isabella,F,22731,USA
2010,Sophia,F,20477,USA
2010,Emma,F,17354,USA
2010,Olivia,F,15990,USA
2010,Ava,F,15471,USA
2010,Emily,F,14264,USA
2010,Abigail,F,13575,USA
2010,Madison,F,13272,USA
2010,Chloe,F,13084,USA
2010,Mia,F,12503,USA
2010,Jacob,M,22139,USA
2010,Ethan,M,20948,USA
2010,Michael,M,20232,USA
2010,Jayden,M,19769,USA
2010,William,M,18703,USA
2010,Alexander,M,18364,USA
2010,Noah,M,17944,USA
2010,Daniel,M,17620,USA
2010,Aiden,M,17500,USA
2010,Anthony,M,17432,USA
2011,Sophia,F,21785,USA
2011,Isabella,F,19544,USA
2011,Emma,F,18360,USA
2011,Olivia,F,16989,USA
2011,Ava,F,14910,USA
2011,Emily,F,13723,USA
2011,Abigail,F,13095,USA
2011,Madison,F,12580,USA
2011,Mia,F,12543,USA
2011,Chloe,F,12053,USA
2011,Jacob,M,20393,USA
2011,Mason,M,19428,USA
2011,William,M,18700,USA
2011,Jayden,M,18540,USA
2011,Noah,M,17883,USA
2011,Michael,M,17536,USA
2011,Ethan,M,17436,USA
2011,Alexander,M,16892,USA
2011,Aiden,M,16773,USA
2011,Daniel,M,16277,USA
2012,Sophia,F,22314,USA
2012,Emma,F,20799,USA
2012,Isabella,F,18931,USA
2012,Olivia,F,17351,USA
2012,Ava,F,15496,USA
2012,Emily,F,13347,USA
2012,Abigail,F,12781,USA
2012,Mia,F,12713,USA
2012,Madison,F,12085,USA
2012,Elizabeth,F,11592,USA
2012,Jacob,M,19088,USA
2012,Mason,M,18969,USA
2012,Ethan,M,18899,USA
2012,Noah,M,18281,USA
2012,William,M,18000,USA
2012,Liam,M,17041,USA
2012,Jayden,M,16987,USA
2012,Michael,M,16956,USA
2012,Alexander,M,16779,USA
2012,Aiden,M,16551,USA
